Condition,Answer
ATLANTO OCCIPITAL DISSOCIATION INJURIES ATLANTO OCCIPITAL DISLOCATION+ATLANTO OCCIPITAL SUBLUXATION=LATERAL XRAY CERVICAL SPINE,ATLANTO OCCIPITAL DISSOCIATION INJURIES
ENTEROPATHY ASSOCIATED ARTHIRITIS BARIUM,ENTEROPATHY ASSOCIATED ARTHIRITIS
SURGICALLY CREATED AVF IN ARM FOR DIALYSIS,SURGICALLY CREATED AVF IN ARM
MAISONNEUVE FRACTURE XRAY,MAISONNEUVE FRACTURE
AURORA SIGN USG ABDOMEN,AURORA SIGN
PLATYSPONDYLY + AAD = MPS DOWNS XRAY SPINE,PLATYSPONDYLY
EMPYEMA NECESSITANS CT CHEST,EMPYEMA NECESSITANS
OLIVOPONTOCEREBELLAR DEGENERATION MULTIPLE SYSTEM ATROPHY+MRI BRAIN,OLIVOPONTOCEREBELLAR DEGENERATION
SUPERFICIAL SIDEROSIS MRI BRAIN,SUPERFICIAL SIDEROSIS
ECTRODACTYLY LOBSTER CLAW HAND DEFORMITY,ECTRODACTYLY LOBSTER CLAW HAND DEFORMITY
HOT CROSS BUN SIGN AXIAL T2 MRI,HOT CROSS BUN SIGN
XRAY ABDOMEN OF CHILD SHOWING ADRENAL CALCIFICATION XRAY,ADRENAL CALCIFICATION
SPONDYLOEPIPHYSEAL TARDA LATERAL XRAY SPINE,SPONDYLOEPIPHYSEAL TARDA
SUDECKS DYSTROPHY/ COMPLEX REGIONAL PAIN SYNDROME,SUDECKS DYSTROPHY
CAUDAL REGRESSION SYNDROME XRAY+MRI,CAUDAL REGRESSION SYNDROME
TUBULAR RIBS XRAY,TUBULAR RIBS
NORMAL DIPLOIC LAKES INTRADIPLOIC LYTIC AREAS,NORMAL DIPLOIC LAKES INTRADIPLOIC LYTIC AREAS
SUBMUCOSAL FIBROID HSG,SUBMUCOSAL FIBROID
PNEUMOSINUS DILATANS WITH CALCIFIED MENINGIOMA ON LAT SKULL XRAY,PNEUMOSINUS DILATANS WITH CALCIFIED MENINGIOMA
CLEIDOCRANIAL DYSPLASIA XRAY SKULL/PELVIS/SPINE/CHEST,CLEIDOCRANIAL DYSPLASIA
DUVERNEY FRACTURE XRAY,DUVERNEY FRACTURE
SQUAMOUS CELL CA OF EXTERNAL EAR CT,SQUAMOUS CELL CA OF EXTERNAL EAR
HOLT ORAM SYNDROME XRAY,HOLT ORAM SYNDROME
CONGENITAL HYPOTHYROIDISM XRAY,CONGENITAL HYPOTHYROIDISM
CAECAL LIPOMA CECT ABDOMEN,CAECAL LIPOMA
PETROCALCANEAL BURSITIS RA+AS+REITERS,PETROCALCANEAL BURSITIS
SINUS PERICRANI,SINUS PERICRANI
ADENOMYOMATOSIS GB,ADENOMYOMATOSIS
LUCKENSCHADEL/LACUNAR SKULL,LUCKENSCHADEL
SIALOLITHIASIS SIALOGRAPHY,SIALOLITHIASIS
PRUNE BELLY SYNDROME XRAY,PRUNE BELLY SYNDROME
BILIARY ASCARIASIS USG/BARIUM,BILIARY ASCARIASIS
COPPER BEATEN SKULL,COPPER BEATEN SKULL
SUBLINGUAL DERMOID CYST CT+MRI,SUBLINGUAL DERMOID CYST
EPIPHRENIC DIVERTICUM BARIUM SWALLOW,EPIPHRENIC DIVERTICUM 
OSTEOPATHIA STRIATA (VOORHOEVE DISEASE) XRAY,VOORHOEVE DISEASE
COLOBOMA OF EYE USG,COLOBOMA OF EYE
OVARIAN HYPERSTIMULATION SYNDROME USG,OVARIAN HYPERSTIMULATION SYNDROME
GDA PSEUDOANEURYSM VERSUS CYSTIC ARTERY PSEUDOANEURYSM (BR OF RHA) CT+CONVENTIONAL ANGIOGRAPHY,GDA PSEUDOANEURYSM VERSUS CYSTIC ARTERY PSEUDOANEURYSM
POLYARTERITIS NODOSA CT+CONVENTIONAL ANGIOGRAPHY,POLYARTERITIS NODOSA
TRACHEOBRONCHOPATHIA OSTEOCHONDROPLASTICA CT,TRACHEOBRONCHOPATHIA OSTEOCHONDROPLASTICA
HAGLUND DEFORMITY XRAY,HAGLUND DEFORMITY
SOFT TISSUE HEMANGIOMA MRI,SOFT TISSUE HEMANGIOMA
TRACHEAL AMYLOIDOSIS,TRACHEAL AMYLOIDOSIS
ATRIAL FIBROMA MRI,ATRIAL FIBROMA
CHORDOMA MRI+CT,CHORDOMA
NEUROMYELITIS OPTICA MRI,NEUROMYELITIS OPTICA
GIST CT,GIST
ARCH OF RIOLAN CONVENTIONAL ANGIOGRAPHY,ARCH OF RIOLAN
MARGINAL ARTERY OF DRUMMOND CONVENTIONAL ANGIOGRAPHY,MARGINAL ARTERY OF DRUMMOND
TRIGONOCEPAHLY XRAY+CT SKULL,TRIGONOCEPAHLY
PLEURAL PLOMBAGE XRAY,PLEURAL PLOMBAGE
HUTCHINSON/ CHAUFFEUR FRACTURE XRAY WRIST WITH FOREARM,HUTCHINSON/ CHAUFFEUR FRACTURE
RADIATION FIBROSIS HRCT CHEST,RADIATION FIBROSIS
MEDIAN ARCUATE LIGAMENT SYNDROME/DUNBAR SYNDROME CT ANGIOGRAPHY SAGGITAL REFORMAT,MEDIAN ARCUATE LIGAMENT SYNDROME/DUNBAR SYNDROME
KLIPPEL FEIL SYNDROME XRAY,KLIPPEL FEIL SYNDROME
SIGMOID VOLVULUS XRAY,SIGMOID VOLVULUS
CAECAL VOLVULUS,CAECAL VOLVULUS
OMENTAL INFARCT CT,OMENTAL INFARCT
EPIPLOIC APPENDAGITIS CT,EPIPLOIC APPENDAGITIS
CA COLON BARIUM ENEMA,CA COLON
DIVERTICULOSIS WITH DIVERTICULITIS AND PELVIC ABCESS CT ABDOMEN,DIVERTICULOSIS WITH DIVERTICULITIS AND PELVIC ABCESS
BENIGN STRICTURE OF ESOPHAGUS BARIUM SWALLOW,BENIGN STRICTURE OF ESOPHAGUS
DIFFUSE ESOPHAGEAL SPASM BARIUM SWALLOW,DIFFUSE ESOPHAGEAL SPASM
ZENKER DIVERTICULUM BARIUM SWALLOW,ZENKER DIVERTICULUM
HILAR CHOLANGIOCA - KLATSKIN TUMOR MRCP,HILAR CHOLANGIOCA - KLATSKIN TUMOR
CHOLEODOCHAL CYST MRCP,CHOLEODOCHAL CYST
PRIMARY SCLEROSING CHOLANGITIS MRCP,PRIMARY SCLEROSING CHOLANGITIS
BILIARY HAMARTOMAS VMC+MRCP,BILIARY HAMARTOMAS
CAROLI DSWITH INTRADUCTAL CALCULUS,CAROLI DS WITH INTRADUCTAL CALCULUS
ISCHEMIC COLITIS XRAY+BARIUM,ISCHEMIC COLITIS
PORCELAIN GB CT+XRAY,PORCELAIN GB
GCT OF SACRUM,ABC/GCT OF SACRUM
JEJUNOJEJUNAL INTUSSUCEPTION CT,JEJUNOJEJUNAL INTUSSUCEPTION
CORPUS CALLOSIUM LIPOMA NCCT HEAD,CORPUS CALLOSIUM LIPOMA
GOUT XRAY,GOUT
